polygon_id,coordinate_sw,coordinate_se,coordinate_ne,coordinate_nw,campsites,power_stations,power_lines,population,carbon_monoxide,tree_density,no_of_fires,avg_fire_size,fire_causes
7,"(32.5, -117.5)","(32.5, -116.5)","(33.5, -116.5)","(33.5, -117.5)",5,149,298,70514,0,0,4770,205,"{'Arson': 352, 'Campfire': 351, 'Children': 148, 'Debris Burning': 279, 'Equipment Use': 1051, 'Fireworks': 2, 'Lightning': 229, 'Miscellaneous': 1544, 'Missing/Undefined': 719, 'Powerline': 13, 'Railroad': 6, 'Smoking': 72, 'Structure': 4}"
8,"(32.5, -116.5)","(32.5, -115.5)","(33.5, -115.5)","(33.5, -116.5)",6,81,176,581742,0,0,764,42,"{'Arson': 47, 'Campfire': 105, 'Children': 16, 'Debris Burning': 39, 'Equipment Use': 140, 'Fireworks': 0, 'Lightning': 87, 'Miscellaneous': 240, 'Missing/Undefined': 65, 'Powerline': 5, 'Railroad': 4, 'Smoking': 14, 'Structure': 2}"
17,"(33.5, -118.5)","(33.5, -117.5)","(34.5, -117.5)","(34.5, -118.5)",9,754,1548,20714,0,0,3950,98,"{'Arson': 474, 'Campfire': 307, 'Children': 153, 'Debris Burning': 124, 'Equipment Use': 693, 'Fireworks': 2, 'Lightning': 280, 'Miscellaneous': 1240, 'Missing/Undefined': 469, 'Powerline': 10, 'Railroad': 8, 'Smoking': 187, 'Structure': 3}"
18,"(33.5, -117.5)","(33.5, -116.5)","(34.5, -116.5)","(34.5, -117.5)",32,244,488,85133,0,0,11816,53,"{'Arson': 997, 'Campfire': 474, 'Children': 717, 'Debris Burning': 395, 'Equipment Use': 2463, 'Fireworks': 14, 'Lightning': 711, 'Miscellaneous': 3753, 'Missing/Undefined': 1567, 'Powerline': 65, 'Railroad': 34, 'Smoking': 621, 'Structure': 5}"
19,"(33.5, -116.5)","(33.5, -115.5)","(34.5, -115.5)","(34.5, -116.5)",5,62,133,436307,0,0,2572,8,"{'Arson': 266, 'Campfire': 89, 'Children': 139, 'Debris Burning': 80, 'Equipment Use': 395, 'Fireworks': 5, 'Lightning': 125, 'Miscellaneous': 979, 'Missing/Undefined': 388, 'Powerline': 11, 'Railroad': 1, 'Smoking': 94, 'Structure': 0}"
28,"(34.5, -118.5)","(34.5, -117.5)","(35.5, -117.5)","(35.5, -118.5)",0,124,225,436307,0,0,1175,167,"{'Arson': 114, 'Campfire': 39, 'Children': 66, 'Debris Burning': 27, 'Equipment Use': 184, 'Fireworks': 0, 'Lightning': 83, 'Miscellaneous': 335, 'Missing/Undefined': 257, 'Powerline': 6, 'Railroad': 1, 'Smoking': 61, 'Structure': 2}"
29,"(34.5, -117.5)","(34.5, -116.5)","(35.5, -116.5)","(35.5, -117.5)",0,38,84,634628,0,0,166,14,"{'Arson': 18, 'Campfire': 16, 'Children': 3, 'Debris Burning': 5, 'Equipment Use': 28, 'Fireworks': 4, 'Lightning': 26, 'Miscellaneous': 37, 'Missing/Undefined': 23, 'Powerline': 1, 'Railroad': 1, 'Smoking': 4, 'Structure': 0}"
30,"(34.5, -116.5)","(34.5, -115.5)","(35.5, -115.5)","(35.5, -116.5)",0,6,12,6980914,0,0,198,38,"{'Arson': 3, 'Campfire': 0, 'Children': 0, 'Debris Burning': 1, 'Equipment Use': 96, 'Fireworks': 1, 'Lightning': 49, 'Miscellaneous': 14, 'Missing/Undefined': 29, 'Powerline': 0, 'Railroad': 5, 'Smoking': 0, 'Structure': 0}"
31,"(34.5, -115.5)","(34.5, -114.5)","(35.5, -114.5)","(35.5, -115.5)",0,3,4,6980914,0,0,242,321,"{'Arson': 5, 'Campfire': 11, 'Children': 0, 'Debris Burning': 3, 'Equipment Use': 80, 'Fireworks': 0, 'Lightning': 94, 'Miscellaneous': 21, 'Missing/Undefined': 21, 'Powerline': 0, 'Railroad': 6, 'Smoking': 1, 'Structure': 0}"
32,"(34.5, -114.5)","(34.5, -113.5)","(35.5, -113.5)","(35.5, -114.5)",0,0,0,0,0,0,9,29,"{'Arson': 1, 'Campfire': 0, 'Children': 0, 'Debris Burning': 1, 'Equipment Use': 0, 'Fireworks': 0, 'Lightning': 0, 'Miscellaneous': 6, 'Missing/Undefined': 1, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 0}"
37,"(35.5, -120.5)","(35.5, -119.5)","(36.5, -119.5)","(36.5, -120.5)",0,107,199,465394,0,0,1456,25,"{'Arson': 97, 'Campfire': 2, 'Children': 36, 'Debris Burning': 94, 'Equipment Use': 429, 'Fireworks': 0, 'Lightning': 12, 'Miscellaneous': 523, 'Missing/Undefined': 197, 'Powerline': 28, 'Railroad': 4, 'Smoking': 34, 'Structure': 0}"
38,"(35.5, -119.5)","(35.5, -118.5)","(36.5, -118.5)","(36.5, -119.5)",17,103,241,240721,0,0,4050,29,"{'Arson': 1268, 'Campfire': 81, 'Children': 113, 'Debris Burning': 165, 'Equipment Use': 667, 'Fireworks': 9, 'Lightning': 288, 'Miscellaneous': 1055, 'Missing/Undefined': 251, 'Powerline': 27, 'Railroad': 15, 'Smoking': 109, 'Structure': 2}"
39,"(35.5, -118.5)","(35.5, -117.5)","(36.5, -117.5)","(36.5, -118.5)",15,19,27,775657,0,0,1108,296,"{'Arson': 41, 'Campfire': 71, 'Children': 49, 'Debris Burning': 21, 'Equipment Use': 72, 'Fireworks': 4, 'Lightning': 450, 'Miscellaneous': 325, 'Missing/Undefined': 51, 'Powerline': 10, 'Railroad': 0, 'Smoking': 13, 'Structure': 1}"
40,"(35.5, -117.5)","(35.5, -116.5)","(36.5, -116.5)","(36.5, -117.5)",1,6,18,3490457,0,0,40,662,"{'Arson': 1, 'Campfire': 3, 'Children': 1, 'Debris Burning': 4, 'Equipment Use': 5, 'Fireworks': 0, 'Lightning': 8, 'Miscellaneous': 15, 'Missing/Undefined': 3, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 0}"
41,"(35.5, -116.5)","(35.5, -115.5)","(36.5, -115.5)","(36.5, -116.5)",0,2,1,2326971,0,0,47,135,"{'Arson': 0, 'Campfire': 1, 'Children': 0, 'Debris Burning': 1, 'Equipment Use': 6, 'Fireworks': 0, 'Lightning': 25, 'Miscellaneous': 6, 'Missing/Undefined': 7, 'Powerline': 0, 'Railroad': 1, 'Smoking': 0, 'Structure': 0}"
42,"(35.5, -115.5)","(35.5, -114.5)","(36.5, -114.5)","(36.5, -115.5)",0,2,2,0,0,0,7,0,"{'Arson': 0, 'Campfire': 0, 'Children': 0, 'Debris Burning': 0, 'Equipment Use': 5, 'Fireworks': 0, 'Lightning': 1, 'Miscellaneous': 0, 'Missing/Undefined': 1, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 0}"
47,"(36.5, -121.5)","(36.5, -120.5)","(37.5, -120.5)","(37.5, -121.5)",0,67,153,317314,0,0,5081,26,"{'Arson': 270, 'Campfire': 25, 'Children': 114, 'Debris Burning': 356, 'Equipment Use': 1359, 'Fireworks': 0, 'Lightning': 31, 'Miscellaneous': 2165, 'Missing/Undefined': 591, 'Powerline': 15, 'Railroad': 6, 'Smoking': 149, 'Structure': 0}"
48,"(36.5, -120.5)","(36.5, -119.5)","(37.5, -119.5)","(37.5, -120.5)",13,114,282,134248,0,0,7737,9,"{'Arson': 553, 'Campfire': 87, 'Children': 280, 'Debris Burning': 748, 'Equipment Use': 1571, 'Fireworks': 0, 'Lightning': 111, 'Miscellaneous': 3193, 'Missing/Undefined': 959, 'Powerline': 23, 'Railroad': 19, 'Smoking': 193, 'Structure': 0}"
49,"(36.5, -119.5)","(36.5, -118.5)","(37.5, -118.5)","(37.5, -119.5)",45,34,64,698091,0,0,2760,94,"{'Arson': 240, 'Campfire': 301, 'Children': 60, 'Debris Burning': 206, 'Equipment Use': 347, 'Fireworks': 0, 'Lightning': 908, 'Miscellaneous': 528, 'Missing/Undefined': 109, 'Powerline': 14, 'Railroad': 0, 'Smoking': 46, 'Structure': 1}"
50,"(36.5, -118.5)","(36.5, -117.5)","(37.5, -117.5)","(37.5, -118.5)",7,14,9,3490457,0,0,451,68,"{'Arson': 28, 'Campfire': 32, 'Children': 11, 'Debris Burning': 18, 'Equipment Use': 56, 'Fireworks': 1, 'Lightning': 100, 'Miscellaneous': 129, 'Missing/Undefined': 55, 'Powerline': 3, 'Railroad': 0, 'Smoking': 17, 'Structure': 1}"
57,"(37.5, -122.5)","(37.5, -121.5)","(38.5, -121.5)","(38.5, -122.5)",1,365,730,44183,0,0,3445,18,"{'Arson': 244, 'Campfire': 47, 'Children': 117, 'Debris Burning': 128, 'Equipment Use': 813, 'Fireworks': 3, 'Lightning': 17, 'Miscellaneous': 1202, 'Missing/Undefined': 715, 'Powerline': 22, 'Railroad': 14, 'Smoking': 123, 'Structure': 0}"
58,"(37.5, -121.5)","(37.5, -120.5)","(38.5, -120.5)","(38.5, -121.5)",5,317,634,94336,0,0,3731,34,"{'Arson': 330, 'Campfire': 68, 'Children': 101, 'Debris Burning': 380, 'Equipment Use': 1071, 'Fireworks': 1, 'Lightning': 54, 'Miscellaneous': 1049, 'Missing/Undefined': 579, 'Powerline': 39, 'Railroad': 4, 'Smoking': 55, 'Structure': 0}"
59,"(37.5, -120.5)","(37.5, -119.5)","(38.5, -119.5)","(38.5, -120.5)",15,37,79,290871,0,0,4420,106,"{'Arson': 308, 'Campfire': 379, 'Children': 131, 'Debris Burning': 488, 'Equipment Use': 581, 'Fireworks': 2, 'Lightning': 1056, 'Miscellaneous': 1036, 'Missing/Undefined': 286, 'Powerline': 42, 'Railroad': 2, 'Smoking': 108, 'Structure': 1}"
60,"(37.5, -119.5)","(37.5, -118.5)","(38.5, -118.5)","(38.5, -119.5)",31,12,17,1396182,0,0,1200,50,"{'Arson': 14, 'Campfire': 154, 'Children': 1, 'Debris Burning': 6, 'Equipment Use': 32, 'Fireworks': 1, 'Lightning': 843, 'Miscellaneous': 113, 'Missing/Undefined': 16, 'Powerline': 3, 'Railroad': 0, 'Smoking': 16, 'Structure': 1}"
61,"(37.5, -118.5)","(37.5, -117.5)","(38.5, -117.5)","(38.5, -118.5)",0,1,1,3490457,0,0,40,10,"{'Arson': 0, 'Campfire': 0, 'Children': 0, 'Debris Burning': 6, 'Equipment Use': 5, 'Fireworks': 0, 'Lightning': 16, 'Miscellaneous': 5, 'Missing/Undefined': 7, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 1}"
67,"(38.5, -123.5)","(38.5, -122.5)","(39.5, -122.5)","(39.5, -123.5)",7,57,134,218153,0,0,3164,79,"{'Arson': 217, 'Campfire': 55, 'Children': 102, 'Debris Burning': 396, 'Equipment Use': 698, 'Fireworks': 0, 'Lightning': 158, 'Miscellaneous': 1062, 'Missing/Undefined': 388, 'Powerline': 25, 'Railroad': 4, 'Smoking': 58, 'Structure': 1}"
68,"(38.5, -122.5)","(38.5, -121.5)","(39.5, -121.5)","(39.5, -122.5)",0,106,246,183708,0,0,2805,48,"{'Arson': 225, 'Campfire': 39, 'Children': 78, 'Debris Burning': 367, 'Equipment Use': 623, 'Fireworks': 1, 'Lightning': 44, 'Miscellaneous': 944, 'Missing/Undefined': 412, 'Powerline': 10, 'Railroad': 2, 'Smoking': 60, 'Structure': 0}"
69,"(38.5, -121.5)","(38.5, -120.5)","(39.5, -120.5)","(39.5, -121.5)",20,354,763,85133,0,0,9572,25,"{'Arson': 776, 'Campfire': 308, 'Children': 291, 'Debris Burning': 1430, 'Equipment Use': 2243, 'Fireworks': 2, 'Lightning': 338, 'Miscellaneous': 2700, 'Missing/Undefined': 1156, 'Powerline': 75, 'Railroad': 30, 'Smoking': 222, 'Structure': 1}"
70,"(38.5, -120.5)","(38.5, -119.5)","(39.5, -119.5)","(39.5, -120.5)",51,26,32,698091,0,0,2779,33,"{'Arson': 81, 'Campfire': 691, 'Children': 46, 'Debris Burning': 119, 'Equipment Use': 101, 'Fireworks': 0, 'Lightning': 1072, 'Miscellaneous': 510, 'Missing/Undefined': 46, 'Powerline': 5, 'Railroad': 3, 'Smoking': 105, 'Structure': 0}"
71,"(38.5, -119.5)","(38.5, -118.5)","(39.5, -118.5)","(39.5, -119.5)",0,0,0,6980914,0,0,22,334,"{'Arson': 1, 'Campfire': 0, 'Children': 0, 'Debris Burning': 0, 'Equipment Use': 0, 'Fireworks': 0, 'Lightning': 16, 'Miscellaneous': 1, 'Missing/Undefined': 4, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 0}"
77,"(39.5, -124.5)","(39.5, -123.5)","(40.5, -123.5)","(40.5, -124.5)",0,11,22,436307,0,0,1189,58,"{'Arson': 45, 'Campfire': 47, 'Children': 26, 'Debris Burning': 125, 'Equipment Use': 237, 'Fireworks': 0, 'Lightning': 172, 'Miscellaneous': 367, 'Missing/Undefined': 143, 'Powerline': 6, 'Railroad': 0, 'Smoking': 21, 'Structure': 0}"
78,"(39.5, -123.5)","(39.5, -122.5)","(40.5, -122.5)","(40.5, -123.5)",6,7,5,775657,0,0,1796,194,"{'Arson': 245, 'Campfire': 100, 'Children': 21, 'Debris Burning': 203, 'Equipment Use': 188, 'Fireworks': 0, 'Lightning': 588, 'Miscellaneous': 329, 'Missing/Undefined': 76, 'Powerline': 2, 'Railroad': 0, 'Smoking': 26, 'Structure': 18}"
79,"(39.5, -122.5)","(39.5, -121.5)","(40.5, -121.5)","(40.5, -122.5)",4,61,150,290871,0,0,5521,37,"{'Arson': 445, 'Campfire': 53, 'Children': 189, 'Debris Burning': 694, 'Equipment Use': 1524, 'Fireworks': 4, 'Lightning': 201, 'Miscellaneous': 1657, 'Missing/Undefined': 523, 'Powerline': 34, 'Railroad': 22, 'Smoking': 174, 'Structure': 1}"
80,"(39.5, -121.5)","(39.5, -120.5)","(40.5, -120.5)","(40.5, -121.5)",36,48,107,465394,0,0,2871,141,"{'Arson': 126, 'Campfire': 165, 'Children': 53, 'Debris Burning': 299, 'Equipment Use': 284, 'Fireworks': 2, 'Lightning': 1084, 'Miscellaneous': 654, 'Missing/Undefined': 101, 'Powerline': 8, 'Railroad': 36, 'Smoking': 58, 'Structure': 1}"
81,"(39.5, -120.5)","(39.5, -119.5)","(40.5, -119.5)","(40.5, -120.5)",15,22,46,581742,0,0,1140,25,"{'Arson': 41, 'Campfire': 43, 'Children': 24, 'Debris Burning': 76, 'Equipment Use': 83, 'Fireworks': 0, 'Lightning': 694, 'Miscellaneous': 117, 'Missing/Undefined': 32, 'Powerline': 3, 'Railroad': 9, 'Smoking': 18, 'Structure': 0}"
82,"(39.5, -119.5)","(39.5, -118.5)","(40.5, -118.5)","(40.5, -119.5)",0,0,0,0,0,0,0,0,"{'Arson': 0, 'Campfire': 0, 'Children': 0, 'Debris Burning': 0, 'Equipment Use': 0, 'Fireworks': 0, 'Lightning': 0, 'Miscellaneous': 0, 'Missing/Undefined': 0, 'Powerline': 0, 'Railroad': 0, 'Smoking': 0, 'Structure': 0}"
88,"(40.5, -124.5)","(40.5, -123.5)","(41.5, -123.5)","(41.5, -124.5)",3,32,69,367416,0,0,4482,19,"{'Arson': 2802, 'Campfire': 185, 'Children': 29, 'Debris Burning': 377, 'Equipment Use': 193, 'Fireworks': 18, 'Lightning': 183, 'Miscellaneous': 469, 'Missing/Undefined': 167, 'Powerline': 18, 'Railroad': 0, 'Smoking': 21, 'Structure': 20}"
89,"(40.5, -123.5)","(40.5, -122.5)","(41.5, -122.5)","(41.5, -123.5)",14,17,24,634628,0,0,2111,299,"{'Arson': 140, 'Campfire': 157, 'Children': 24, 'Debris Burning': 130, 'Equipment Use': 140, 'Fireworks': 1, 'Lightning': 1056, 'Miscellaneous': 342, 'Missing/Undefined': 45, 'Powerline': 21, 'Railroad': 1, 'Smoking': 53, 'Structure': 1}"
90,"(40.5, -122.5)","(40.5, -121.5)","(41.5, -121.5)","(41.5, -122.5)",17,83,164,367416,0,0,3435,73,"{'Arson': 272, 'Campfire': 243, 'Children': 98, 'Debris Burning': 432, 'Equipment Use': 472, 'Fireworks': 0, 'Lightning': 679, 'Miscellaneous': 898, 'Missing/Undefined': 209, 'Powerline': 16, 'Railroad': 18, 'Smoking': 97, 'Structure': 1}"
91,"(40.5, -121.5)","(40.5, -120.5)","(41.5, -120.5)","(41.5, -121.5)",7,22,49,634628,0,0,1917,37,"{'Arson': 41, 'Campfire': 49, 'Children': 15, 'Debris Burning': 71, 'Equipment Use': 102, 'Fireworks': 0, 'Lightning': 1294, 'Miscellaneous': 273, 'Missing/Undefined': 39, 'Powerline': 1, 'Railroad': 10, 'Smoking': 19, 'Structure': 3}"
